Video Name,Time in Seconds,Date and Time
[01] KITTI - City LR_x2,123.6132423877716,01/07/2021 17:53:28
[02] KITTI - Person LR_x2,30.84006690979004,01/07/2021 17:55:48
[03] KITTI - Campus LR_x2,93.9580979347229,01/07/2021 17:56:29
[04] VIRAT Court LR_x2,416.262814283371,01/07/2021 17:58:48
[05] VIRAT Student Campus LR_x2,757.6761090755463,02/08/2021 15:56:32
[06] VIRAT Full Parking Lot LR_x2,1765.0154325962067,02/08/2021 16:21:29
[07] Wide Area LR_x2,111.32448387145996,02/08/2021 16:54:09
[08] Human Interaction LR_x2,326.03204822540283,02/08/2021 16:57:48
[09] Edinburgh Office LR_x2,903.7384569644928,02/08/2021 17:40:12
[10] MMDA Day LR_x2,380.44199872016907,02/08/2021 18:01:06
[11] Archer_s Eye LR_x2,358.00802636146545,02/08/2021 18:36:36
[12] Pasay Bike Incident LR_x2,248.0299530029297,02/08/2021 18:42:51
[13] Bus LR_x2,256.059184551239,02/08/2021 18:49:01
[14] Convenience Store LR_x2,215.10017204284668,05/07/2021 18:02:04
[15] Retail Store LR_x2,952.9762055873871,02/08/2021 18:59:57
[16] Grocery Theft LR_x2,279.21010875701904,02/08/2021 19:30:32
[17] Abbey Road LR_x2,1842.930337190628,02/08/2021 19:41:16
[18] Wolves Highway LR_x2,1317.4390211105347,02/08/2021 20:33:00
[19] Restaurant LR_x2,948.5180745124817,02/08/2021 21:18:18
[20] Halloween LR_x2,1703.7005407810211,02/08/2021 21:34:29
